,Iteration,Metric,Min,Avg,Std,Max
0,0,Q1,0.03968456511667594,0.07039960316964965,0.012098549170128738,0.10009913165819684
1,0,Q2,0.061868976918647976,0.08849011990388297,0.012278867697952962,0.1132997656743114
2,0,Q3,0.07465168399107353,0.10559231337772956,0.014007471647769285,0.13395012884727062
3,0,Q4,0.0960979737218531,0.13428796118883152,0.016708477415388195,0.17164193366383554
4,0,Q5,0.21830237587108006,0.28568376054843536,0.028480138171385307,0.3382592163678713
5,0,Business,0.4800288,0.4801960799999999,0.00012219485329353747,0.4804968
6,0,Government,0.1003585,0.10048020142857142,5.54067743224256e-05,0.100562
7,0,Susceptible,0.9733333333333334,0.978857142857143,0.002099562636671274,0.98
8,0,Infected,0.01,0.011142857142857142,0.002099562636671296,0.016666666666666666
9,0,Recovered_Immune,0.01,0.01,0.0,0.01
10,0,Death,0.0,0.0,0.0,0.0
11,0,Asymptomatic,0.9966666666666668,0.9998095238095238,0.0007737179432986548,1.0
12,0,Hospitalization,0.0,0.00019047619047619048,0.0007737179432986629,0.0033333333333333327
13,0,Severe,0.0,0.0,0.0,0.0
14,1,Q1,0.03968456511667594,0.07039960316964965,0.012098549170128738,0.10009913165819684
15,1,Q2,0.061868976918647976,0.08849011990388297,0.012278867697952962,0.1132997656743114
16,1,Q3,0.07465168399107353,0.10559231337772956,0.014007471647769285,0.13395012884727062
17,1,Q4,0.0960979737218531,0.13428796118883152,0.016708477415388195,0.17164193366383554
18,1,Q5,0.21830237587108006,0.28568376054843536,0.028480138171385307,0.3382592163678713
19,1,Business,0.4800288,0.4801960799999999,0.00012219485329353747,0.4804968
20,1,Government,0.1003585,0.10048020142857142,5.54067743224256e-05,0.100562
21,1,Susceptible,0.9733333333333334,0.978857142857143,0.002099562636671274,0.98
22,1,Infected,0.01,0.011142857142857142,0.002099562636671296,0.016666666666666666
23,1,Recovered_Immune,0.01,0.01,0.0,0.01
24,1,Death,0.0,0.0,0.0,0.0
25,1,Asymptomatic,0.9966666666666668,0.9998095238095238,0.0007737179432986548,1.0
26,1,Hospitalization,0.0,0.00019047619047619048,0.0007737179432986629,0.0033333333333333327
27,1,Severe,0.0,0.0,0.0,0.0
28,2,Q1,0.03968456511667594,0.07039960316964965,0.012098549170128738,0.10009913165819684
29,2,Q2,0.061868976918647976,0.08849011990388297,0.012278867697952962,0.1132997656743114
